"package_lc","version","osv_id"
"generator-jhipster-kotlin","1.6.0","GHSA-pfxf-wh96-fvjc"
"ua-parser-js","0.7.29","GHSA-pjwm-rvh2-c87w"
"@fangrong/xoc","1.0.6","GHSA-pjxp-f379-6284"
"eslint-config-eslint","5.0.2","GHSA-pv55-r6j3-wp94"
"@cap-js/sqlite","2.2.2","GHSA-pvw4-cvr4-97p8"
"@cap-js/postgres","2.2.2","GHSA-pvw4-cvr4-97p8"
"@cap-js/db-service","2.10.1","GHSA-pvw4-cvr4-97p8"
"@octokit/app","14.0.1","GHSA-pwfr-8pq7-x9qv"
"total4","12.0","GHSA-pwvp-h579-hfxg"
"color-convert","3.1.1","GHSA-pxx3-g568-hxr4"
"fuxa-server","1.3.0","GHSA-q3w6-q3hc-c5x6"
"total4","12.0","GHSA-q3x9-28f7-w8rc"
"bootstrap","3.4.1","GHSA-q58r-hwc8-rm9j"
"@powersync/service-core","1.20.0","GHSA-q6wc-xx4m-92fj"
"@powersync/service-sync-rules","0.32.0","GHSA-q6wc-xx4m-92fj"
"angular-material-sidenav-rnd","0.1.1","GHSA-qmxf-fxq7-w59f"
"ngrok","4.3.3","GHSA-qr28-p3wr-mxq3"
"color","5.0.1","GHSA-qrmh-qg46-72pp"
"zx","8.3.1","GHSA-qwp8-x4ff-5h87"
"method-override","1.0.2","GHSA-qx2f-477c-35rq"
"s3-url-parser","1.0.3","GHSA-r4q9-xx5g-j24p"
"fuxa-server","1.3.0-2773","GHSA-r9g5-7q8j-958c"
"@seal-security/mongoose-fixed","5.3.3","GHSA-rc4v-99cr-pjcm"
"fuxa-server","1.3.0","GHSA-rg3m-cfq7-g6h6"
"mongodb-client-encryption","1.2.0","GHSA-rjmf-p882-645m"
"sanitize-html","2.17.3","GHSA-rpr9-rxv7-x643"
"openclaw","2026.4.23","GHSA-rwp6-7w3q-75fq"
"total4","12.0.0","GHSA-v287-9w3v-x5c5"
"quill","2.0.3","GHSA-v3m3-f69x-jf25"
"flowise","3.0.1","GHSA-v5w9-prxf-w882"
"pyramid-proportion","1.0.5","GHSA-v6vv-hhqc-6hh2"
"uptime-kuma","2.0.0-dev.0","GHSA-vffh-c9pq-4crh"
"editor.md","1.5.0","GHSA-vjcj-5g2r-vxqc"
"dynamo-schema","0.0.3","GHSA-vp8g-53fw-r9f2"
"@kindspells/astro-shield","1.2.0","GHSA-w387-5qqw-7g8m"
"@amoy/common","1.0.10","GHSA-w58v-r3cp-qr93"
"duckdb","1.3.3","GHSA-w62p-hx95-gf2c"
"@duckdb/node-api","1.3.3","GHSA-w62p-hx95-gf2c"
"@duckdb/node-bindings","1.3.3","GHSA-w62p-hx95-gf2c"
"@duckdb/duckdb-wasm","1.29.2","GHSA-w62p-hx95-gf2c"
"@backstage/plugin-techdocs-node","1.14.0","GHSA-w669-jj7h-88m9"
"stream-combine","2.0.2","GHSA-w6xj-45gv-fw35"
"angular-bmap","0.0.9","GHSA-w8hg-mxvh-9h57"
"next","12.2.3","GHSA-wff4-fpwg-qqv3"
"slp-validate","1.0.0","GHSA-wmx6-vxcf-c3gr"
"simple-get","4.0.0","GHSA-wpg7-2c88-r8xv"
"ts-process-promises","1.0.2","GHSA-ww4j-c2rq-47q8"
"@strikeentco/set","1.0.0","GHSA-wwg2-2crq-6grr"
"editor.md","1.5.0","GHSA-x3g3-334f-q6h4"
"rate-map","1.0.3","GHSA-x48m-gp6r-gp4v"
"editor.md","1.5.0","GHSA-x65c-4fgj-5fc3"
"parse-ini","1.0.6","GHSA-x72j-hv9f-qqh4"
"cordova-plugin-china-picker","1.0.910","GHSA-x9gm-qxhh-rf75"
"@sigstore/verify","3.1.0","GHSA-xgjw-pm74-86q4"
"base-x","5.0.0","GHSA-xq7p-g2vc-g82p"
"ngx-context-menu","0.0.26","GHSA-xwg3-gjxh-c8pm"
